Is matrix product commutative in general?	No, it is not commutative.
What is the Jaccard index used for?	Measuring the similarity between 2 sets
What Is the maths formula fo the jaccard index?	The size of the intersection divided by the size of the union of the sample sets.
How do we measure how close 2 words are without going by charecter?	What is embedded words?
What is embedded words?	How do we measure how close 2 words are without going by charecter?
l2 norm of a vector (length)	||x||^2 for each element, then square root it<div>x = 1, 2, -1</div><div>\[||x||^2 = \sqrt{1 + 4 + 1} = \sqrt{6}\]<br></div>
||x||^2 for each element, then square root it<div>x = 1, 2, -1</div><div>\[||x||^2 = \sqrt{1 + 4 + 1} = \sqrt{6}\]<br></div>	l2 norm of a vector (length)
What is the inner product between x and y?	go num by num through both arrays, add the smallest ones together<div><br></div><div>x = (1, 2, -1)</div><div>y = (-1, 0, 1)</div><div>xTy = -1 + 0 + -1</div>
go num by num through both arrays, add the smallest ones together<div><br></div><div>x = (1, 2, -1)</div><div>y = (-1, 0, 1)</div><div>xTy = -1 + 0 + -1</div>	What is the inner product between x and y?
What is the cosine angle between the two vectors x and y?	The cosine similarity is<div>\[\frac{x^{T}y}{||x||_{2}||y||_{2}\]<br></div><div><br></div><div>for x = (1, 2, -1)</div><div>y = (-1, 0, 1)</div><div>=</div><div>\[\frac{-2}{\sqrt{12}}\]<br></div>
The cosine similarity is<div>\[\frac{x^{T}y}{||x||_{2}||y||_{2}\]<br></div><div><br></div><div>for x = (1, 2, -1)</div><div>y = (-1, 0, 1)</div><div>=</div><div>\[\frac{-2}{\sqrt{12}}\]<br></div>	What is the cosine angle between the two vectors x and y?
What is the definition of the Euclidean distance?	\[\sqrt{\Sigma_i (x_i - y_i)^2}\]<br>
\[\sqrt{\Sigma_i (x_i - y_i)^2}\]<br>	What is the definition of the Euclidean distance?
Euclidean distance of (1, 2, -1) and (-1, 0, 1)?	\(\frac{-2}{\sqrt{12}}\)<br>
What is the transpose of a matrix?	What is this?<div>[a b</div><div>&nbsp;c d]</div><div>matrix^T =</div><div>[a c</div><div>&nbsp;b d]</div><div><br></div>
What is this?<div>[a b</div><div>&nbsp;c d]</div><div>matrix^T =</div><div>[a c</div><div>&nbsp;b d]</div><div><br></div>	What is the transpose of a matrix?
What is the determinant of a matrix?	( 2 1<div>&nbsp;1 2)</div><div>det(A) = ac - bd = 2 * 2 - 1 * 1 = 4 - 1 = 3</div>
( 2 1<div>&nbsp;1 2)</div><div>det(A) = ac - bd = 2 * 2 - 1 * 1 = 4 - 1 = 3</div>	What is the determinant of a matrix?
What is the inverse of a matrix?	1/det(A)<div>(d -b</div><div>&nbsp;-c a)</div>
1/det(A)<div>(d -b</div><div>&nbsp;-c a)</div>	What is the inverse of a matrix?
How do eigenvectors work?	x =<div>[ 2</div><div>&nbsp; 1]</div><div><br></div><div>a =&nbsp;</div><div>( 3 2</div><div>&nbsp; 3 -2)</div><div>lambda = 4</div><div><br></div><div>Does a*x = lambda * x?</div>
Types of data include&nbsp;Categorial data,&nbsp;Numerical data,&nbsp;String data,&nbsp;<span class=cloze>[...]</span>	Types of data include&nbsp;Categorial data,&nbsp;Numerical data,&nbsp;String data,&nbsp;<span class=cloze>Time series data</span><br> 
Types of data include&nbsp;Categorial data,&nbsp;<span class=cloze>[...]</span>,&nbsp;String data,&nbsp;Time series data	Types of data include&nbsp;Categorial data,&nbsp;<span class=cloze>Numerical data</span>,&nbsp;String data,&nbsp;Time series data<br> 
Types of data include&nbsp;Categorial data,&nbsp;Numerical data,&nbsp;<span class=cloze>[...]</span>,&nbsp;Time series data	Types of data include&nbsp;Categorial data,&nbsp;Numerical data,&nbsp;<span class=cloze>String data</span>,&nbsp;Time series data<br> 
Types of data include&nbsp;<span class=cloze>[...]</span>,&nbsp;Numerical data,&nbsp;String data,&nbsp;Time series data	Types of data include&nbsp;<span class=cloze>Categorial data</span>,&nbsp;Numerical data,&nbsp;String data,&nbsp;Time series data<br> 
What is categorical data?	Data that can be categorised (flower petals) is called?
Data that can be categorised (flower petals) is called?	What is categorical data?
What is numerical data?	Data with real numbers only (length)
Data with real numbers only (length)	What is numerical data?
What is string data?	Data that is words in a document
Data that is words in a document	What is string data?
What us time series data?	Data that is a continuous chronological flow in one direction
Data that is a continuous chronological flow in one direction	What us time series data?
What is a feature?	Attributes of data points that we can use to represent the data points is known as
Attributes of data points that we can use to represent the data points is known as	What is a feature?
Do we need to talk to a domain expert for deciding on what is a feature?	Would be useful!
Would be useful!	Do we need to talk to a domain expert for deciding on what is a feature?
Can good features help us abstract?	Yes! If colour == red, then flower = rose. Works on all red coloured flowers.
Assume that the heights of a student takes the following values:<div>[s1 = 170cm, s2 = 160cm, s3 = 155cm, s4 = 165]</div> <div>Use method 1 ([0, 1]) normalisation</div>	1, 0.33, 0, 0.67
1, 0.33, 0, 0.67	Assume that the heights of a student takes the following values:<div>[s1 = 170cm, s2 = 160cm, s3 = 155cm, s4 = 165]</div> <div>Use method 1 ([0, 1]) normalisation</div>
Assume that the heights of a student takes the following values:<div>[s1 = 170cm, s2 = 160cm, s3 = 155cm, s4 = 165]</div> <div>Use method 2 (Gaussian normalisation)</div>	1.34, -0.45, -1.35, 0.45
1.34, -0.45, -1.35, 0.45	Assume that the heights of a student takes the following values:<div>[s1 = 170cm, s2 = 160cm, s3 = 155cm, s4 = 165]</div> <div>Use method 2 (Gaussian normalisation)</div>
Standard deviation formula?	Take each number, subtract the mean, add up squared differences, get variance which is sum of differences squared divided by count and then square root variance to get standard deviation
Take each number, subtract the mean, add up squared differences, get variance which is sum of differences squared divided by count and then square root variance to get standard deviation	Standard deviation formula?
Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div>	Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;<span class=cloze>Replace with the mean</span></div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div><br> 
Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div>	Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;<span class=cloze>Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</span></div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div><br> 
Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Accept missing values, let algorithm deal with it</div>	Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;<span class=cloze>Predict missing values with a classifier</span></div><div>*&nbsp;Accept missing values, let algorithm deal with it</div><br> 
Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div>	Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;<span class=cloze>Set the value to a missing value</span></div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div><br> 
Ways to measure missing values?<div>* <span class=cloze>[...]</span><br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div>	Ways to measure missing values?<div>* <span class=cloze>Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn</span><br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;Accept missing values, let algorithm deal with it</div><br> 
